location,dist_from_city
Anandapura,12.4
Gubbalala,15.4
Bommasandra Industrial Area,21.6
Margondanahalli,13.7
Kothannur,11.8
Choodasandra,16.8
Magadi Road,21.7
Kogilu,19.6
Babusapalaya,9.8
1st Phase JP Nagar,9.7
Seegehalli,13.9
Iblur Village,13.8
Abbigere,18.4
Kambipura,23.2
Ardendale,23.1
2nd Stage Nagarbhavi,15.2
Munnekollal,12.4
Battarahalli,12.9
Amruthahalli,14.4
6th Phase JP Nagar,11.7
Lingadheeranahalli,21.4
EPIP Zone,14.6
Gunjur,18.5
Sonnenahalli,16.8
Kathriguppe,9.6
Kaval Byrasandra,8.9
Domlur,5.4
Rayasandra,16.4
Thubarahalli,13.5
Hoskote,24.7
Basaveshwara Nagar,10.9
Ulsoor,3.1
Binny Pete,8.6
Yelachenahalli,11.5
Poorna Pragna Layout,10.3
Sanjay nagar,10.6
HBR Layout,8.8
OMBR Layout,7.7
Pai Layout,7.1
HRBR Layout,8.5
Kalyan nagar,8.7
Kaggalipura,32.9
Billekahalli,10.6
Garudachar Palya,11.9
Kannamangala,23.1
Bannerghatta,20.4
Kammanahalli,7.6
Sarjapura - Attibele Road,36.0
Dasarahalli,29.4
Kaikondrahalli,15.3
BTM Layout,7.7
Chikka Tirupathi,34.6
Nagavara,13.2
Arekere,11.6
Malleshpalya,9.4
Begur,12.9
Judicial Layout,16.3
Banashankari Stage II,9.5
Banaswadi,7.8
Banashankari Stage VI,14.9
Dasanapura,29.2
Parappana Agrahara,14.6
Kasturi Nagar,8.6
Mallasandra,18.4
Kereguddadahalli,19.4
Kenchenahalli,21.8
Anjanapura,18.2
Sector 2 HSR Layout,6.6
Cooke Town,5.4
Varthur Road,12.2
Kodihalli,6.1
Chamrajpet,6.7
Benson Town,5.6
Nagavarapalya,7.0
Murugeshpalya,6.8
Sultan Palaya,8.4
Sarakki Nagar,9.8
NGR Layout,8.6
 Devarachikkanahalli,12.0
NRI Layout,12.8
Giri Nagar,10.2
Jalahalli East,15.8
Doddakallasandra,14.3
1st Block Jayanagar,6.0
Dommasandra,23.5
Prithvi Layout,17.3
ISRO Layout,13.2
Mahalakshmi Layout,11.4
Konanakunte,13.8
Sector 7 HSR Layout,9.8
Vishveshwarya Layout,15.4
Gollarapalya Hosahalli,22.7
Neeladri Nagar,20.4
Shampura,9.5
Kadubeesanahalli,13.0
BEML Layout,13.5
Chikkabanavar,19.7
Yelenahalli,15.2
Kodigehaali,15.8
Bommenahalli,9.6
Shivaji Nagar,3.3
Rajiv Nagar,16.0
Cunningham Road,4.3
GM Palaya,7.9
Vishwapriya Layout,12.0
Badavala Nagar,9.6
Karuna Nagar,20.1
AECS Layout,13.8
Bharathi Nagar,14.3
Sompura,26.5
Mico Layout,11.5
Doddaballapur,46.3
Cox Town,4.8
ITPL,15.4
5th Block Hbr Layout,9.1
Laggere,15.7
Vasanthapura,14.0
Nagasandra,17.6
Banashankari Stage V,13.6
HAL 2nd Stage,5.6
Nehru Nagar,17.3
Tindlu,16.2
LB Shastri Nagar,8.5
Thyagaraja Nagar,8.4
Pattandur Agrahara,16.0
Kodigehalli,15.8
Banjara Layout,11.1
Narayanapura,13.2
2nd Phase Judicial Layout,17.7
Marsur,27.5
Kalkere,11.5
Gunjur Palya,16.6
Naganathapura,15.0
Nagadevanahalli,16.1
1st Block Koramangala,9.8
Nagappa Reddy Layout,9.5
Dodsworth Layout,18.7
BTM 1st Stage,7.4
Ganga Nagar,8.6
Sadashiva Nagar,6.7
Basapura,14.4
Dairy Circle,6.9
4th Block Koramangala,8.9
Richmond Town,2.4
2nd Phase JP Nagar,9.2
Banagiri Nagar,10.0
Kaverappa Layout,13.8
Mathikere,11.2
KUDLU MAIN ROAD,12.1
Lingarajapuram,6.0
Vignana Nagar,9.7
Jakkur Plantation,16.4
Sector 1 HSR Layout,10.6
Volagerekallahalli,26.9
Kamakshipalya,12.4
B Narayanapura,10.1
Ejipura,7.5
Yemlur,11.9
Chandra Layout,12.3
Chennammana Kere,9.7
Medahalli,14.7
Gollahalli,18.9
Peenya,15.5
Vishwanatha Nagenahalli,12.0
Kattigenahalli,21.0
Mahalakshmi Puram,11.4
Shikaripalya,19.7
Vajarahalli,16.8
MS Pallya,17.0
Outer Ring Road East,9.8
Sathya Sai Layout,18.0
Akshayanagara East,14.0
Cambridge Layout,1.9
Kodbisanhalli,11.1
Dollars Colony,11.5
Sidedahalli,19.7
Seetharampalya,13.1
Manayata Tech Park,10.4
Byadarahalli,21.7
Thirumenahalli,16.8
Ittamadu,11.0
Basavanapura,13.6
Kanaka Nagar,12.0
Roopena Agrahara,8.6
Vasanth nagar,4.3
Reliaable Tranquil Layout,12.7
1st Block HRBR Layout,8.5
Hoysalanagar,10.3
Gopalkrishna Nagar,18.6
Nallurhalli,16.5
Akshaya Vana,14.2
"Sarjapur Road, ",17.2
Hongasandra,10.4
Huskur,22.4
Nelamangala,31.5
Dodda Nekkundi Extension,13.8
Jalahalli West,17.5
Shanti Nagar,3.7
AGS Layout,12.1
Doddabommasandra,15.8
"Hoodi Circle, ",13.5
Austin Town,2.8
Hessarghatta,34.3
Basaveshwara Nagar Yelahanka,18.1
Doctors Layout,11.4
Tejaswini Nagar,15.8
Doddakammanahalli,17.4
RMV 2nd Stage,11.4
Ashwath Nagar,11.4
Cholanayakanahalli,10.9
Singapura Village,17.6
Defence Colony,4.2
3rd Block Hrbr Layout,7.9
Byrasandra,8.0
Keshava Nagar,9.6
Vijaya Bank Layout,11.7
2nd Block Hrbr Layout,7.3
Canara Bank Colony,12.1
Hennur Gardens,10.0
Richards Town,5.6
Green View Layout,18.1
Ambedkar Colony,18.4
Bank Of Baroda Colony,11.4
Ramakrishnappa Layout,12.4
Kundalahalli Colony,13.8
Wilson Garden,4.5
Byatarayanapura,14.3
Madiwala,6.8
HOSUR MAIN ROAD,19.0
4th T block Jayanagar,8.7
Victoria Layout,1.9
Maruthi Sevanagar,5.1
8th block Koramangala,5.4
Jayanagar,6.9
Jeevan bima nagar,6.9
Channasandra Layout,18.3
Ashirvad Colony,10.3
ITI Layout,10.9
Anand Nagar,10.1
Doddanekundi,11.9
Siddapura,15.9
Dodda Banaswadi,8.5
Motappa Layout,12.8
Devasthanagalu,18.7
Bagalakunte,18.2
Samethanahalli,21.7
Amblipura,13.2
Srinivasa Nagar,9.6
Ashwathnagar,9.9
Kacharakanahalli,7.1
Suraksha Nagar,15.2
Meenakunte,30.9
Nagawara Junction,10.0
Abbaiah Reddy Layout,10.1
Shree Ananth Nagar Layout,21.8
Byrathi Village,11.5
Shantiniketan Layout,13.1
Nayandanahalli,11.7
 Devarabeesana Halli,14.4
Hennur Bande,9.1
Srirampura,7.5
Doddanakundi Industrial Area 2,13.4
Bhuvaneshwari Nagar,13.4
New Thippasandra,7.1
Doddakannelli,16.6
Maragondanahalli,20.9
Varanasi,13.1
Rajiv Gandhi Nagar,15.9
Chelekare,9.0
Bileshivale,14.0
Venkatapura,8.6
Rustam Bagh Layout,7.0
Kumara Park,6.2
Gopalapura,36.2
Kadabagere,26.6
Maruthi Nagar,6.7
Vasantha Vallabha Nagar,14.0
Basavanagara,10.3
Avalahalli,9.7
Belathur,17.4
Sunkadakatte,18.4
Hiremath Layout,10.7
Akshya Nagar,11.9
1st Stage Indira Nagar,4.3
Kada Agrahara,26.5
Amruthnagar,12.9
Ramanjaneyanagar,12.3
Raghuvanahalli,16.2
Carmelaram,18.8
Coconut Grove Layout,10.2
Shanthala Nagar,2.0
A Narayanapura,8.1
Nagondanahalli,19.0
Govindpura,10.0
"Off Sarjapur Road, ",15.3
Doopanahalli,4.2
9th Block Jayanagar,8.7
Kallumantapa,9.4
Jakkasandra Extension,11.6
Srirampuram,7.5
7th Block Jayanagar,8.3
Nagashetty Halli,11.3
Doddabanahalli,16.9
Nagaraja Garden,10.7
3rd Block Banashankari,10.4
6th block Koramangala,5.9
HMT Layout,11.5
Jakkuru Layout,15.1
Kurubarahalli,12.4
Mallathahalli,15.0
Chikkadunnasandra,26.7
Cottonpet,8.6
Virat Nagar,9.5
Pattanagere,14.7
Munivenkatppa Layout,9.9
Bellari Road,16.1
Silk Board,7.8
New Gurappana Palya,8.1
Devi Nagar,14.0
Bagalur,21.3
Hosahalli Extension,9.9
KR Garden,6.6
Lavelle Road,2.2
VGP Layout,12.9
Maithri Layout,18.2
Vishwapriya Nagar,12.0
Byagadadhenahalli,28.3
Kadugondanahalli,7.1
RMV Extension,12.1
Attur Layout,21.8
Stage-4 Bommanahalli,11.2
MCECHS  layout,13.8
Chinnapanahalli,13.4
Lavakusha Nagar,21.4
Tala Cauvery Layout,14.2
Laxmi Sagar Layout,12.7
Mylasandra,15.2
Varsova Layout,8.2
Doddagubbi,15.6
OLd Gurappanapalya,9.5
Sector 6 HSR Layout,8.6
Kuvempu Nagar,8.0
Tata Nagar,14.2
Thanisandra main road,13.5
Suddaguntepalya,6.5
RWF West Colony,20.0
Geddalahalli,11.6
Shankarapuram,6.1
Ngef Layout,14.0
Ramamurthy Nagar Extension,10.9
tc.palya,12.2
NS Palya,9.7
Glass Factory Layout,22.5
Harsha Layout,17.2
"Judicial Layout, Kanakapura Road, ",17.7
 Mysore Highway,17.5
Chikkathoguru,15.1
Udayapur Village,29.8
BEL Road,11.5
Immadihalli,17.8
Upkar Layout,17.2
Jnanabharathi Layout,16.4
Lake City,10.5
Kodathi,20.3
Herohalli,20.2
Manjunath Nagar,8.4
Brooke Bond First Cross,16.6
JCR Layout,14.5
Langford Town,3.3
Puttanahalli,20.0
2nd Block Jayanagar,6.0
Bikasipura,13.3
Alfa Garden Layout,13.5
Lakshmi Layout,12.3
Udaya Nagar,8.8
Kumarapalli,13.2
Singena Agrahara,23.3
AMS Layout,18.9
Basavanna Nagar,13.9
Konanakunte Cross,13.9
Kammagondahalli,19.0
Chennappa Layout,13.0
Gowdanapalya,12.2
Kamala Nagar,12.6
Kirloskar Layout,19.0
Sai Gardens,24.7
Raja Rajeshwari Nagar 5th Stage,16.4
4th Phase JP Nagar,10.5
BSM Extension,36.2
